text,Lang
"The low-dose steroid treatment dexamethasone is a major breakthrough in the fight against the deadly virus, UK experts say.
The drug is part of  to see if they also work for coronavirus.",ENG
"Yeroos bu'aa gaarii agarsiise kan jedhan qorichi busaa haayidiroksiikiloorookiin amma dhorkamee jira.
Qorichi biraan abdii qaba jedhame kan remdesivir jedhamu akka dhukkubsattoonni dafanii dandamatan gargaaru ammallee faayidaarra oolaa jira.

",ORO
It cut the risk of death by a third for patients on ventilators.,ENG
"Yeroos bu'aa gaarii agarsiise kan jedhan qorichi busaa haayidiroksiikiloorookiin amma dhorkamee jira.
Qorichi biraan abdii qaba jedhame kan remdesivir jedhamu akka dhukkubsattoonni dafanii dandamatan gargaaru ammallee faayidaarra oolaa jira.

",ORO
The drug is already used to reduce inflammation in a range of other conditions.,ENG
"Dhukkubsattoota ventileetara isaan barbaachisu 8 keessaa tokko lubbuu baraaruun akka danda'amu agarsiisa jedhan qorataan biraa pirofeesar Maartiin Laandirii.
""Faayidaa ifatti mul'atu qaba. Namni guyyaa 10'f qoricha kanaan yaalame paawondii 5 (birrii 200 ta'u) qofa kafala. Kuni qoricha guutuu addunyaatti argamudha.""
Hospitaalonni yeroo barbaachisaa ta'e dhukkubsattootaaf haa kennan, namni kaan garuu ofumaa bahee bitatee manatti ittiin galuu hin qabu jedha pirofeesar Maartiin.
Qorichi kun namoota mallattoo sasalphaa qaban, kan rakkoo harganuu hin qabaanneef bu'aa hin qabus jedhu.
Qorannoon qorichoota duraan turan irratti traasifamuu kan eegale Bitootessa keessa ture.
",ORO
"US Vice-President Mike Pence has said the Trump campaign is open to moving its campaign rally to an outdoor location, amid criticism that the 
large event, scheduled for Saturday in Tulsa, Oklahoma, would put people at risk of coronavirus.",ENG
"Dhukkubsattoota ventileetara isaan barbaachisu 8 keessaa tokko lubbuu baraaruun akka danda'amu agarsiisa jedhan qorataan biraa pirofeesar Maartiin Laandirii.
""Faayidaa ifatti mul'atu qaba. Namni guyyaa 10'f qoricha kanaan yaalame paawondii 5 (birrii 200 ta'u) qofa kafala. Kuni qoricha guutuu addunyaatti argamudha.""
Hospitaalonni yeroo barbaachisaa ta'e dhukkubsattootaaf haa kennan, namni kaan garuu ofumaa bahee bitatee manatti ittiin galuu hin qabu jedha pirofeesar Maartiin.
Qorichi kun namoota mallattoo sasalphaa qaban, kan rakkoo harganuu hin qabaanneef bu'aa hin qabus jedhu.
Qorannoon qorichoota duraan turan irratti traasifamuu kan eegale Bitootessa keessa ture.
",ORO
"Since 1999, it has been illegal for domestic customers to have their water supplies cut off.
The Citizens Advice Bureau (CAB) says in 2019 it helped 42,000 people in England who had trouble paying their water bills. It has estimated that, during lockdown, almost 7m people are expected to fall behind on water payments. It encourages people to work with water companies and apply for welfare schemes.
What about access to hot water if people are struggling to top up gas or electric prepayment meters?",ENG
" Kanneen hospitaala dhaqanis irra hedduun ni wayyaa'u.
Kaan garuu ooksijinii ykn ammoo meeshaa ittiin harganan (ventileetarii) barbaadu. Qorichi 'dexamethasone' jedhamu kun kan daran gargaaru warra akkanaati.
Qorichichi rakkoo fayyaa wayita qaamni namaa wantoota vaayirasichaan lolan maddisiisu uumamuu maluu hambisa jedhame.
Deebiin humnaa olii qaamni namaa vaayirasicha loluuf jecha kennu 'cytokine' jedhamu lubbuu galaafachuu danda'a.
Yaalii ogeeyyiin yuunivarsitii Oksifoord taasisaniin, dhukkubsattoonni 2000 ol ciisanii yaalamaa jiran qoricha kana kan fudhatan, kanneen qorichicha hin fudhatiin 4000 waliin madaalamaniiru.
Dhukkubsattoota veentileetarii jala jiraniif carraa du'aa dhibbeentaa 40 irraa gara 28'tti, kanneen ooksijiiniin hafuura baafataniif ammoo dhibbeentaa 25 irraa gara 20 gadi buuse.
Dursaan qorattootaa pirofeesar Piitar Hoorbii akka jedhetti, ""amma yoonaa qorichi du'a Covid-19 haalaan xiqqeessuu danda'e kana qofa.""
Kuni argannoo guddaadha jedha pirofeesar Piitar.",ORO
